isolation_source,count
stomach biopsy,2
proximal right tibia,2
Patient18 sputum,2
plant leaves,2
bed sheets,2
hospital sewage water,2
roes,2
30 degree sequencing batch reactor activited sludge day 294,2
Penis Swab,2
rhizospheric soil,2
brain tissue,2
Gastric biopsy specimen,2
Aquaculture pond sediment,2
Table surface,2
olive knot,2
Patient3 sputum,2
BAL (bronchoalveolar lavage),2
mountain cabin,2
infected leaf,2
raw milk (vending machine),2
conveyor,2
plant rhizosphere,2
Barley,2
Bronchial Wash,2
outpatient,2
Chicken liver,2
human oral cavity UC19,2
contaminated groundwater,2
seed,2
Hospitalized patient,2
pork meat,2
6th dilution order of 4-month-old decomposing straw,2
sediment from soda lake pond DK3 with sediment salt concentration 8.6%,2
peritoneal cavity,2
Gall bladder,2
Malayan pangolin,2
Whole Carcass,2
"Saudi Arabia: Malaz area, Riyadh",2
vaginal swabs,2
Sputum-aspirate,2
"Rhizospheric soil of mangrove plant, Aviciana marina",2
freshwater lake anaerobic enchiment culture with carbon source leucine,2
eggs of a tick infected in nature,2
high bog Sima,2
Buttocks wound,2
Nasal discharge,2
pus aspirate,2
ballast water,2
mango apical buds from mango crop farm,2
Sesbania cannabina rhizoplane saline soil,2
6th dilution order of 2-month-old decomposing straw,2
acid mine drainage site biofilm from Rose Pool,2
Peritoneal dialysis fluid,2
algae,2
respiratory sample,2
intestines,2
root rhizosphere,2
Elanco Animal Health,2
Untreated water,2
human fecal sample,2
Hospital environment,2
HVS,2
Peadiatric - bp apparatus,2
trunk,2
Peritoneal fluid culture,2
bee hive,2
Bronchial washing (lung tumour site),2
Municipal wastewater sludge anaerobic digester,2
post mortem sample,2
alveolar lavage fluid,2
Swab from Wound,2
permafrost,2
traqueal,2
broiler,2
Giant freshwater prawn farm,2
"Ex-situ cultivation bioreactor using corn curb in a mixture of seawater, seawater sediment, and sea mud",2
termite hindgut,2
eggshell,2
hot spring sediment from GC-06 spring,2
surface lake water freshwater algal bloom,2
Hydrothorax,2
Urinary tract,2
Dolichospermum enrichment culture inoculated with lake water from cyanobacterial bloom,2
soil under mahogany trees,2
well developed soil crust,2
physical,2
Plastic,2
surface sediment from the estuary of Pearl River,2
Sink drain at pizza restaurant,2
Bay of Bengal,2
skin swab1482 from squamous cell carcinomas patient MST013,2
Anterior Nose,2
CVC,2
Fungus comb,2
Hatchery debris from turkey commercial hatches,2
seawater and sediment from deep-sea hydrothermal vent field,2
pig farms,2
soil sample line 3 80 ft from anomalous acidified pond located near a glacio-fluvial outwash plain,2
Kulunda Steppe hypersaline lake,2
blood sample from a 61 year old woman who was hospitalized in ICU,2
skin secretions,2
foods,2
Mussel,2
single cell amplified by MDA; marine sediment,2
deep mesotrophic lake,2
temporal freshwater pond,2
Food production environment,2
not recorded,2
Lactose powder,2
Hospital sewage,2
drinking fountain drain,2
coral mucus,2
urban river,2
sea-ice,2
Poultry meat,2
beach sand contaminated with Macondo oil,2
Liquid sample from the EV5L dechlorinating bioreactor,2
waste water,2
biogas-producing acetoclastic consortium from a thermophilic anaerobic digester,2
adult wing,2
humic pond in Novohradske mountains,2
Dialysis fluid,2
Peatland at SPRUCE experiment site,2
hexactinellid isolated at 868 m depth,2
lumbar drain tip,2
slaughtered pig,2
laryngeal suction,2
No Data,2
benthal deposit,2
Respiratory sample - sputum,2
natural biofilms,2
Tracheobronchial,2
Thermophilic and cellulolytic compost-derived microbial consortium ZCTH02,2
river sediments,2
Barberry bark,2
Patient6 sputum,2
Bronchial Alveolar lavage,2
"surface seawater, North Sea",2
"Mud with water, below a pond dam",2
SP,2
cystic fibrosis sputum,2
rectal smear surveillance,2
Ceratophyllus tesquorum,2
rhizospheric soil of plants growing naturally in the vicinity of discharge point of an industrial area,2
periodontal pocket,2
solar saltern,2
1 cell amplified by MDA; sorted single cells from oil sands tailings pond,2
olive twig showing symptoms of olive quick decline syndrome,2
blood sample from a 60 year old man who was hospitalized in ICU,2
deep-sea asphalt volcano Chapopote Knoll at the water depth of 2925 m,2
Hydrothorax and Ascites,2
Desert plant free sand dune,2
pancreas,2
Cold noodle,2
Mesentery LN,2
surface sediment from the estuary of Pearl River treated with pyrene for 30 days,2
blood sample from a 75 year old man who was hospitalized in ICU,2
sediment (20-25 cm) from mangrove covering field,2
microbial mat ULC146,2
Basil,2
Indian agricultural soil,2
aquaculture system,2
Marine (Black Sea),2
bronchoalveolar,2
Sherman Lake,2
"Cape Town, South Africa",2
Red Sea water column Station 108 - depth 100m,2
Avena fatua rhizosphere soil heavy density fraction time point 9 weeks,2
"terrestrial hot spring (Monarch Geyser, YNP)",2
sea water from hydrothermal vent,2
exudate,2
Chicken Litter,2
Not available,2
urethral discharge,2
Rumen fluid,2
seawater lake chemocline,2
Hydrothermal vent,2
fish drying yard,2
Estuary,2
blood sample from a 78 year old man who was hospitalized in ICU,2
retail turkey,2
Sausage from Russia,2
intertidal zone,2
whole DNA extracted from Rhagoletis cerasi pupa,2
Hospital waste water,2
marine microbial mat,2
pigeonpea root nodule (farming soil),2
brackish water,2
pipe,2
Urine culture,2
laboratory strain,2
Drainage samples from liver abscess,2
tissue from ulcer,2
liquor cerebrospinalis,2
Red Sea water column Station 169 - depth 25m,2
Subgingival plaque,2
purulent abscess,2
retail meat from Camelus dromedarius,2
inguinal swab,2
"Subsurface_Fluids_21-22_U1362A, Subsurface_Fluids_23-24_U1362B",2
Pulmonary,2
Almond orchard,2
Cecum contents,2
laboratory activated sludge,2
cloacal,2
Doenjang,2
SPUT,2
"Soil sample from Angelo meadow plot 1, 20cm depth, pre rain",2
deteriorated polyurethane foam collected in a landfill,2
unhealthy carrier,2
rice hulls,2
poultry carcass,2
rapid sand filter,2
liver meal,2
Salami,2
blood sample from a 63 year old man who was hospitalized in ICU,2
tissue sample,2
Mixed Food,2
Environmental Meat,2
220 cm below water surface of man-made lake,2
Assam tea or Miang leaf,2
blood sample from a 54 year old woman who was hospitalized in ICU,2
autotrophic NRFeOx enrichment culture BP inoculated with freshwater sediment,2
Seawater from the North Sea by Helgoland,2
Hot spring_55deg.,2
Patient4 sputum,2
Chronically low temperature and dry polar region,2
enrichment from wetland soil,2
Red Sea water column Station 149 - depth 200m,2
Clayey mud of a drained pond,2
carbuncle,2
animal infection,2
tracheal secretions,2
Floor,2
water sample from Deepwater horizon oil spill sea surface treated with treated with naphthalene in a stable-isotope probing (SIP) experiment,2
patient with toxic shock syndrome-1,2
EB,2
fetal tissue,2
bronchial exudate,2
surface area of a building with less than 200 occupants,2
Knee-joint exudate,2
feces of Macaca fuscata yakui,2
Central Line Tip,2
rhizospheric region of Phragmites karka from brackish water lake,2
human oral cavity UCLA1,2
oceanic bathypelagic zone,2
Belgium Congo,2
biochar-amended oxisol soil plot 1,2
chickens,2
costal sediment,2
Mud of a creek bank,2
rectal smear,2
blood sample from a 67 year old man who was hospitalized in ICU,2
rabbit,2
insect gut,2
Catheter urine,2
Root endosphere,2
sulfate amended sediment enrichment culture,2
Nasophyarynx swab,2
Bronchoscope from bronchoalveolar lavage (BAL),2
raised bog,2
diabetic foot ulcer,2
Sediment with water of forest creek,2
Microcrustacean,2
"human with diarrhea assosiated with seafood cunsumption, Pacific Ocean Coast Northern Chile",2
"chlorinated drinking water, site 5",2
Nandasena,2
soil from a swine farm,2
Cloacal swab from turkey breeder farm,2
blood from melioidosis patient,2
human sample,2
paraffin-degrading consortium; enrichment culture inoculated with marine sediment; grown with octacosane under sulfate-reducing conditions,2
Assorted Sub Meats,2
"Gill tissue of a wood-boring mollusc Lyrodus pedicellatus; shipworm Bankia gouldi collected from the Newport River Estuary, Beaufort North Carolina",2
deep marine sediment,2
tissue from diabetec foot ulcer,2
peat bog soil,2
nasopharynx sample from patient HS-CRS-17,2
screening swab,2
Sawkill stream below waste water outflow,2
Blood cultures,2
hindgut,2
Red Sea water column Station 34 - depth 50m,2
Retail chicken,2
drinking water system-PB1,2
bottom water,2
Ceca,2
"marine sediment core GS10_PC15, 223 cmbsf",2
linuron-contaminated soil,2
carrot field,2
Breast milk,2
Oxygen minimum zone,2
heart,2
Avena fatua rhizosphere soil heavy density fraction time point 6 weeks,2
sputum from non-CF patient,2
"Cave, the surface of limestone",2
AHPND infected Penaeus japonicus,2
Unhealthy carrier,2
tomato field,2
Fly,2
decomposing wood from intermixed hardwood and conifers,2
soil at Joker's Hill,2
Chicago River,2
PCB contaminated soil,2
surface saline water,2
Indus river sediment,2
Uropygial gland,2
Animal manure,2
Pharyngeal exudate,2
retail pork,2
Chicken Meat,2
blood sample from a newborn,2
Skin-perianal,2
surface sewater,2
nitrite oxidizing enrichment from marine coastal surface sediments,2
water from Lab-scale nutrients removal reactor,2
microbial mat growing in sulfidic groundwater-fed fountain near public library,2
biofilm from LB_RO membrane1,2
Peripheral blood,2
chick trachea,2
freshwater reservoir from 13m depth,2
Hospital Tap Water,2
skin ulcer,2
activated sludge from Bali wastewater treatment plant,2
Human nasopharynx,2
sebeceous gland on nose of healthy women,2
Seafood environment,2
potato,2
hydraulically fractured well fluid at Timepoint_328,2
Isolated from the intestines of sick birds in the farm,2
marine hydrothermal sulfide sediment TVG13,2
gastric content,2
farming pond,2
Sterile Body Site,2
hematoma,2
nasal sample,2
kefir milk,2
"chlorinated drinking water, site 6",2
Laryngopharyngeal lymph node,2
Dairy calf feces,2
Hungarian Sausage,2
University Hospital of Abidjan-Yopougon,2
fetal abomasum,2
sample PL-Br10; brine of Picturesque Lake,2
nasal cavity,2
geothermally heated soil,2
cutaneus swab,2
Isolates from 59.49m-59.59m section below the seafloor (cmbsf) in subseafloor sediments off Shimokita Peninsula,2
Stool/Rectal Swab,2
Duodenum,2
Hydraulically fractured well fluid,2
Rifle well FP-101 under high O2 conditions; 0.2 micron filter,2
alginate 40-100 m particle (artificial) late colonization,2
kidney of diseased fish,2
ORINE,2
Salmon processing facility,2
Red Sea water column Station 192 - depth 25m,2
bioreactor using biocathode as sole electron donor and carbon dioxide as sole carbon source; pH was maintained at 7.0,2
cloacal swabs,2
buccal mucosa of child,2
bone tissue,2
subgingival plate,2
abdominal collection,2
pupa,2
Bones,2
seep sediment enrichment culture,2
Cecum,2
pus sample,2
oligotrophic lake microbial mat,2
diseased red tilapia,2
"freshwater lake, 5 m depth",2
Mud from a seasonal creek,2
nose lavage,2
Parsley,2
Cardiac lesion,2
Salad leaves,2
sternal wound,2
blood sample from a 43 year old man who was hospitalized in ICU,2
breast,2
pelagic sediments on the east flank of the Arctic Mid-Ocean Ridge,2
"single cell amplified by MDA; collected from the Gulf of Mexico, station 5, 1m under the surface",2
whole body,2
Methane-rich estuary sediments 52-54 cm,2
Human cerebrospinal fluid,2
blood sample from a 44 year old man who was hospitalized in ICU,2
Red Sea water column Station 34 - depth 25m,2
Sewage water,2
Mint,2
blood sample from a 71 year old man who was hospitalized in ICU,2
"oral cavity, infant (10 months of age)",2
Pineapple,2
wound of lower leg,2
co-culture originated from a tropical freshwater lake,2
Porcelana 58 C degree phototrophic mat,2
Abomasal fluid foetus,2
Bone biopsy,2
dental biofilm,2
Rectal swap,2
limestone,2
scaleded sausage,2
Grouper fish,2
meat product,2
frozen food,2
Rifle well CD01 at time point 4 / D; 5m depth; 0.1 filter,2
protected specimen brushes,2
Lungs,2
pyogenic fluids,2
planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate until 250 mg/L maintanence,2
oceanic epipelagic zone,2
Wound discharge sample,2
Cystic Fibrosis sputum,2
soil on farm,2
blood sample from a 55 year old woman who was hospitalized in ICU,2
ENVO:00000003,2
Exudate,2
Floor Picking trolley,2
plant tissue,2
degrading mangrove leaf,2
"sediment sample collected at the water-sediment interface from the South Pacific gyre, IODP site U1369",2
fresh water from alpine river,2
Mushroom preparation,2
Perianal Swab,2
cow milk,2
Water sample from WAB188 Well,2
freshwater reservoir,2
pleural space,2
1-methylnaphthalene degrading enrichment culture,2
Hospital effleunts,2
Avena fatua rhizosphere soil middle density fraction time point 9 weeks,2
quick-frozen food from supermarket,2
Pacific plankton,2
marine,2
sacrum ulcer,2
subsurface groundwater biofilm,2
iron-rich host spring Jinata Onsen Pool 1,2
"Chicha, maize-based fermented beverage",2
aquarium,2
"terrestrial hot spring (Joseph's Coat Hot Spring, YNP)",2
Purulent absess from military trainee,2
Milk filter (dairy cow farm),2
Gut content,2
stomach of patient with gastric cancer,2
Red Sea water column Station 192 - depth 200m,2
lesion,2
pond rock,2
wheat rhizosphere,2
blood sample from septicemic neonates,2
Wastewater treatment plant,2
Surface water (20cm),2
standing rain water,2
blood sample from a 74 year old man who was hospitalized in ICU,2
water from cave,2
single cell amplified by MDA; Uruguay winery wastewater,2
water sample from Deepwater horizon oil spill sea surface treated with treated with phenanthrene in a stable-isotope probing (SIP) experiment,2
Human feces,2
drinking water system-PR,2
Ionian sea from 3500 m depth,2
Healthy human skin surface,2
bovine peripheral lymph node,2
Stewed chicken,2
marine brine pool,2
alginate 40-100 m particle (artificial) mid colonization,2
lungs (tracheal aspirate),2
Fluid,2
Mud of a pond bottom,2
Blood from adult,2
"holomictic Lake 227, 6 m and 8 m depth",2
"marine sediment core GS08_GC12, 126 cmbsf",2
strawberry leaf,2
Udder,2
vaginal discharge,2
market,2
sludge from N2O producing bioreactor,2
rhizosphere of maize,2
Tonsil scrape,2
"sample #5133, Elevator 3A push core 47, collected at Hydrate Ridge North during Jason II dive J2-593 from an area of active seepage marked by bubble ebullition and surface expression of white microbial mat",2
sperm,2
blood-culture,2
Tomato seed,2
arctic sea water near B02 station,2
middle ear,2
cattle rearing farm,2
chicken barn,2
blood from 86 year old patient,2
host,2
Antarctic coastal sea-ice brine,2
urban river water,2
Peri-rectal,2
wetland soil with plant cover day10_CT,2
Marine Biofilm,2
cold vegetables in sauce dishes samples,2
agarose-chitosan mix 40-100 m particle (artificial) mid colonization,2
blood sample from a 64 year old woman who was hospitalized in ICU,2
Diseased eel,2
Extreme high temperature habitat,2
Hospital Environment,2
pus from wound,2
middle ear fluid,2
"oral cavity, infant (15 months of age)",2
necrotic tissue,2
Food - Raw Cow's Milk,2
iron-rich hot spring microbial mats,2
skin-nares,2
Black sea sediments,2
leg,2
Tonsillar swab,2
microbial mat ULC073,2
agarose 40-100 m particle (artificial) late colonization,2
Bin,2
organic chicken farm,2
blood sample from a 49 year old man who was hospitalized in ICU,2
oil contaminated soil collected from the Noonmati oil refinery,2
surface water of an agricultural watershed,2
sebaceous gland in acne affected area on forhead of male with moderate acne,2
salt marsh,2
lab enrichment culture in anaerobic medium,2
S2-enrichment culture from tap water-filter-nitrite,2
"hospital, countertop",2
gill sample from 2 different clams,2
carbon dioxide amended sediment enrichment culture,2
salad kitchen drain,2
hexachlorocyclohexane-contaminated soil,2
Red Sea water column Station 149 - depth 100m,2
deep-sea,2
mincemeat,2
"chlorinated drinking water, site 8",2
Geothermal soil,2
digestive tract,2
abdominal drainage fluid,2
plant roots,2
purulent material,2
Patient7 sputum,2
ferruginous lake sediment,2
Pressure ulcer,2
Lake Shunet,2
Chicken wings,2
Hospital ward,2
Mactra veneriformis,2
Environmental Dairy,2
turbid lake in tropical area,2
Laryngeal suction,2
Mud of a seasonal forest creek,2
respiratory system,2
Tomato with bacterial wilt,2
platelet concentrate,2
iron-rich host spring Jinata Onsen Pool 3,2
not_blood,2
Human oral cavity,2
seawater from Antarctic Bottom Water,2
Siphonaptera,2
dilbit-coated clay beads in seawater,2
single cell amplified by MDA; Dewar Creek Hot Spring,2
fermented rice,2
snake,2
wine,2
Laboratory generated strain,2
acidic streamer,2
oysters obtained from Mexico City seafood market (La Viga),2
Human cornea,2
urban freshwater stream,2
Abortion secretions,2
blood sample from a 62 year old man who was hospitalized in ICU,2
Human faeces,2
Placental tissue,2
pharyngeal swab from Venezuelan patient with diphtheria,2
large intestine,2
Hypolimnion,2
body,2
Ear Swab,2
chicken meat from supermarket,2
Not collected,2
soil core,2
Sinus,2
Landfill refuse,2
kefir,2
Postoperative infection,2
Bedsores,2
Retail chicken skin,2
NP swab,2
polyester fabric recovered from leaf litter,2
Net Tow,2
"Attic structure in St. Paul, MN",2
fecal sample from healthy male,2
insecticide resistant adult collected from Citrus limon (L.) Burm. (lemon),2
siliceous digitate sinter (TIK2),2
hot spring sediment from LGB-05 spring,2
"Small Animal Hospital, Chulalongkorn University",2
leaf petioles,2
Patient16 sputum,2
NRRL B1670-derived strain with spontaneous large deletions,2
Mid-Stream Urine,2
Rectal screening,2
infant sputum,2
Sputm,2
raw milk products,2
Central venous catheter tip,2
freshwater surface biofilm,2
Sock,2
mobile phone,2
Stream water,2
pleural effusion,2
Purulent secretion,2
abdominal abscess,2
Ailuropoda melanoleuca,2
tongue oral cavity,2
estuary water,2
coral-associated microbial aggregates (CAMAs),2
cecum matter of weanling rat after 6 hour fasting; S36,2
pharyngeal swabs,2
estuarine soil,2
TCE/Cr reducing biocathode,2
sickbed swab,2
Wond,2
tourmaline rock,2
"farm environment, wall",2
sanies,2
wound infection,2
skin swab1599 from squamous cell carcinomas patient MST023,2
sputum-aspirate,2
pig feed,2
Pig-tail catheter,2
"sediment collected in IODP Expedition 375 from site U1519C, depth 144.3 mbsf",2
Cyanobacterial bloom,2
kelp blade surface swab,2
Aerial roots,2
a nose swab sample of swine origin,2
fermentation bed material,2
Boiled chiken,2
Cholera patient,2
Femur,2
Urban topsoil,2
lake,2
burn wound surface,2
"farm environment, drinker",2
nasal tract,2
forest,2
milk and other tissues,2
Surgical Wound,2
microbial,2
wound on the leg,2
Oral,2
hot spring sediment from GC-07 spring,2
Homalodisca vitripennis,2
umbilicus,2
enrichment culture derived from anaerobic digestion as an inoculum,2
Human Stool,2
chicken meat from retail market,2
Endotracheal tube swab,2
mince meat,2
eggs of a naturally infected Ixodes ricinus tick,2
bovine rumen in xylose fermenting enrichment culture,2
4th dilution order of 9-month-old decomposing birch leaves,2
UR CATH,2
Chronic Kidney Disease,1
Abdominal Wound,1
Patient26 sputum,1
former landfill for plastics,1
"hospital-2, OP, stool #2",1
cecum matter of weanling rat after 6 hour fasting; S33,1
Nasogastric tube_P44_BU19,1
a anal swab sample of swine origin,1
Groundwater from chloroethene-contaminated soil at chemical factory,1
left mandible and iliac artery,1
patient16,1
Chair in hospital room,1
Eye Wound,1
Sperm,1
green sulfur bacteria endolithic enrichment culture,1
Peach leaves,1
Acidic soil,1
Shek Wu Hui WWTPs_106 WWTPs influent,1
sulfur springs,1
freshwater lake mesocosm spiked with cow9 feces day 7,1
Infusion stand_P63_BU16,1
Screening,1
Seaweed sample 1,1
worker from swine farm,1
Hot water spring,1
CVC (central venous catheter),1
Borscht with bone broth,1
Borehole fluid,1
Ancestral PA01,1
lab-scale microbial electrolysis cells reactors 31 and 41,1
Saimiri sciureus,1
Lower gallery with a lake; water-sediments interface (waterfront),1
Patient9 sputum,1
wheat field,1
Patient41 sputum,1
gill sample from 3 different clams,1
Tongling acid mine drainage,1
Cooked chicken,1
Throat swab 9,1
sputum from COPD patient,1
Maanshan2 acid mine drainage,1
Tracheostomy site,1
sediment from lake,1
Cystic Fibrosis blood culture,1
Foot tissue,1
Throat swab 11,1
Spoiled apple cider,1
Stanley WWTPs_19 WWTPs influent,1
Fankou acid mine drainage,1
Ready-to-cook beef cutlets,1
dolphin brain,1
urine CVS,1
cecum matter of weanling rat after 6 hour fasting; S13,1
9 bed bar,1
soli,1
Aman rice field soil,1
environmental103,1
Sea bream,1
Lung/Blood,1
pulmonary fluid,1
"right shoulder cellulitis, necropsy sample",1
Siphon,1
underground coal mine water,1
nose; prosthetic joint infection,1
bone biopsy,1
blood culture from maile,1
volcanic hot spring,1
sediment and hotspring water,1
pleural,1
"drainage, left groin",1
Throat swab 19,1
"Chicken Carcass, Kampung Chicken",1
environmental54,1
Rice roots,1
Stanley WWTPs_42 WWTPs effluent,1
sputum from patient with pneumonia,1
soil from walnut orchard,1
intestines of sick fish,1
benzene- degrading enrichment culture,1
devitalized tissue,1
Throat swab 1,1
co-culture of Aspergillus flavus and Bombella sp. isolated from honey bee,1
Throat swab 15,1
decubitus swab,1
Pleuroperitoneal Fluid,1
meropenem treated soil,1
urine (catheter),1
patient with DFU,1
"unialgal non-axenic culture, originally established from brackish water collected from Curonian Lagoon Lithuania in 2012",1
goose faeces,1
Hippophae rhamnoides root soil actinomycetes,1
anus,1
peritoneal,1
Microcerotermes nervosus termite mound periphery,1
commercial vaccine,1
cecum matter of weanling rat after 6 hour fasting; S14,1
endotracheal cannula,1
"microaerophilic veil, freshwater sediment",1
Loxodonta africana,1
cecum matter of weanling rat after 6 hour fasting; S22,1
retail cow milk,1
sacral ulcer,1
Lower limb swab,1
Salad with boiled beetroot,1
Throat swab 6,1
chicken caeca 4,1
soft bottom,1
Healthy leaves of fully grown Tectona grandis,1
polystyrene waste,1
Hill Myna,1
Greenhouse grown plants with black leg infection,1
North Park Lake,1
lung tissue and bronchoalveolar lavage fluid,1
"waste water treatment plant, downstream",1
pus swabs,1
China: Guangdong,1
Stump Wound,1
Patient22 sputum,1
Chicken giblets (Gallus gallus),1
"wound, drain right lower quadrant",1
Shatin WWTPs_21 WWTPs effluent,1
fish gut,1
"Peripheral Blood Culture (three separate sets, anaerobic bottles only)",1
"Marine sediments from the Ria Formosa lagoon (Faro, Portugal)",1
Stanley WWTPs_28 WWTPs effluent,1
fester,1
endotracheal tube,1
Water for algae observation,1
environmental187,1
Industrial zone of Bord Elarab city,1
diarrhea,1
Fresh fecal sample,1
Earthworm gut,1
stethoscope,1
Eye secretion,1
2227E medium,1
throat; endotracheal tube,1
Raw-milk cheese,1
human peritoneal fluid,1
stool samples,1
Diaphorina citri,1
acute appendicitis,1
Throat swab 36,1
Fresh vegetable salad with canned vegetables and seasoned pickled mushrooms,1
ileum,1
root of coffee,1
Lesion,1
Scrotal wound,1
Locker_P26_BU28,1
Dongxiang wild rice,1
rice panicle,1
"sediment, groundwater",1
water surface of oligotrophic pond,1
Apple strudel,1
Endophytes,1
Intestinal Tract,1
aborted donkey,1
Swab from ear,1
lavage,1
C RA BJH,1
Black-collared Starling,1
cecum matter of weanling rat after 6 hour fasting; S1,1
Bed controller_P22_BU23,1
cecal content,1
champenoux soil,1
dolphin spleen,1
Shek Wu Hui WWTPs_100 WWTPs influent,1
Marine biofilms,1
rice rhizosphere,1
Patient42 sputum,1
Retail market fish,1
"Soil of the Cerrado, clay soil, Gurupi-TO, Brazil",1
Chicken gizzard (Gallus gallus),1
Porites lutea,1
human oral cavity UC16,1
genital,1
Toe Wound,1
ICU - sink,1
Salmo salar liver,1
"sediment collected in IODP Expedition 375 from site U1519E, depth 10.35 mbsf",1
Creek sediment,1
enrichment culture of drinking water treatment residuals inoculated with Planktothrix agardhii,1
human oral cavity UC02,1
sample from patient in hospital emergency room,1
2221E medium,1
Panthera tigris Amoyensis,1
Irrigation well water,1
swine feces,1
environmental177,1
microbial mat of salt lake,1
China: Anhui,1
skin fragement,1
tibia,1
profound head ulcers of farmed Murray cod,1
Biofilm - potable water,1
Throat swab 40,1
ICU - occupied bed,1
retail milk,1
"sediment collected in IODP Expedition 375 from site U1519E, depth 42.77 mbsf",1
Conjunctival secretion,1
Automated Teller Machine,1
sediment in spartina alterniflora,1
Normal skin swab,1
Oral swab,1
Clinical lab,1
hospital sample,1
Salvia splendens seedlings,1
retail fresh cilantro,1
bal,1
sour bean,1
feces of food-borne disease patients,1
Preterm neonate vaginally delivered and admitted to SNCU with respiratory distress,1
scrambled eggs,1
"Intertidal sediment samples from Puqian Bay,China",1
Throat swab 3,1
produced water,1
left hindlimb fetlock wound,1
sternum,1
Eye Swab,1
Endotracheal tube tip,1
Rootzone of shrubs,1
Urine (catheter),1
intravitreal tap from 78 year old male patient,1
Uterine,1
green shoot,1
Infected leaves,1
gut intramural cavernous fistulous tract (CavFT) microlesion,1
Protein phyto iogurt with black currant,1
Vegetable soup,1
stream biofilm,1
2223E medium,1
2226E medium,1
shunt fluid,1
seeds,1
Splenic fine needle aspirate,1
"Rhizospheric soil of mangrove plant, Rhizophora mucronata",1
Hospital ICU,1
salivary gland,1
Raw beef,1
hot underground spring,1
clinical isolation,1
Sternum bone,1
earthworm cast,1
Estuarine mud,1
4% isobutanol tolerant sttrain was obtained after evolution experiments performed on wild type NZ9000 L. lactis strain.,1
Shatin WWTPs_77 WWTPs influent,1
Shek Wu Hui WWTPs_1 WWTPs effluent,1
environmental98,1
water dripping from a Western sword fern plant four feet above road bed,1
Endophyte,1
Throat swab 16,1
Chernozemic soil,1
conjugation assay,1
Water sample from WAB71 Well,1
Throat swab 8,1
Boiled sausages,1
red volcanic soil on cultivated land,1
contaminated culture of Mycobacterium chubuense ATCC27278,1
Throat swab 33,1
cervix swab,1
feces from Chicken intestine,1
adult male whole insect body collected from Opuntia ficus-indica,1
Throat swab 21,1
Throat swab 27,1
Baijiu distillery sewage,1
"Sediment samples were collected from a municipal wastewater treatment outlet located in the intertidal zone of Zhanjiang Bay, China.",1
deep sea mooring chain biofilm,1
Human fecal sample,1
pulmonary sample,1
pelleted cells from reactor effluent,1
patient8,1
bronchio-nasal eashing,1
Pharyngeal swab,1
Intestine content,1
black soot,1
snow,1
retail chicken meat,1
Shek Wu Hui WWTPs_114 WWTPs influent,1
"""Baked roll """"Ayashi""""""",1
Inguinal/Rectal swab,1
Trawl swab of 26-day-old poultry litter,1
street pet,1
Eclectus roratus feces,1
asphalt marine sediment,1
feces samples from horses admitted in a veterinary hospital,1
clay soil,1
Throat swab 29,1
corneal ulcer,1
pig manure,1
Silurus asotus,1
stomach lumen,1
Deep throat,1
granite found near the pulp mill site,1
mixed forest with bamboo,1
cerebral abscess pus,1
trout head-kidney,1
chicken caeca 5,1
feces of swine,1
tea garden soil,1
sequencing batch reactor,1
shallow sediments of the Salar de Huasco lagoon,1
foot of a periwinkle,1
fruit fly in a laboratory,1
unk,1
parking lot island in grocery store parking lot,1
Pea field soil,1
shoe sole from worker,1
Pond sample 2,1
main river that flows through Guiyu town,1
perirectal swab,1
drought soil/ flooding soil in rice field,1
Abdominal pus,1
water sample 5 m,1
ICU - ventilator,1
Stanley WWTPs_10 WWTPs influent,1
Creamy cheese sample 1,1
USA:Mississippi,1
small intestine,1
Patient57 sputum,1
Throat swab 38,1
Aphanizomenon enrichment culture inoculated with lake water from cyanobacterial bloom,1
Farm water farm 3,1
wound drainage from an ICU patient with septic shock,1
enrichment cultures inoculated with river sediment,1
anammox biofilm in wastewater treatment plant,1
epithelium of nasopharynx [UBERON:0001951],1
the leaf of flue-cured tobacco,1
wound swab (lower limb),1
environmental15,1
Throat swab 24,1
fresh water lake sediment,1
Tomsk,1
5 bed bar,1
Pleural Cavity,1
Patient48 sputum,1
plasticized fabric sample F exposed to a harsh tropical environment for 14 months,1
tracheostomy swab,1
wetlands,1
Throat swab 25,1
respiratory culture,1
bloodstream specimen,1
rabbit meat,1
tracheobronchial secretion,1
2216E medium,1
Electrocardiogram clip,1
patient5,1
enrichment culture from haloalkaline lake,1
cheek,1
White-lipped Deer,1
soft tissue abscess,1
dentin-pulp,1
"hospital-2, ICU, urine #7",1
fermented cabbage,1
Throat swab 28,1
liver abcess in cystic fibrosis patient,1
eye secreta,1
elbow skin biopsy from patient with disseminated infection,1
Beef Cattle Respiratory Tract,1
tracheostoma,1
radish sprouts,1
patient's blood,1
brain biopsy,1
water-salt lake,1
harbor surface coastal-water,1
Agricultural,1
multiple lymph nodes from dolphin caught in fish net,1
MSU1 Lake,1
human samples,1
soybean nodules,1
sludge,1
Coal cuttings from Coal bed Methane well site,1
Water sample,1
sediment from sea water fish tank,1
"marine sediment; Station J, 17-20 cmbsf",1
Neopsylla setosa,1
Shower,1
mosquito larval gut,1
"blood, liver abscess",1
neck,1
