species_id	biome_id	genome_count	total_genes	core_genes	soft_core_genes	shell_genes	cloud_genes	cloud_fraction	core_fraction
MGYG000438934	marine	24	1627	152	256	1152	67	0.041180086047940996	0.09342347879532882
MGYG000438935	marine	20	1489	157	248	687	397	0.26662189388851576	0.10543989254533244
MGYG000438944	marine	8	2903	599	0	2242	62	0.021357216672407853	0.206338270754392
MGYG000438963	marine	9	2666	722	0	1805	139	0.052138034508627154	0.27081770442610653
MGYG000438988	marine	5	3056	1182	0	1874	0	0.0	0.3867801047120419
MGYG000439496	marine	3	2043	1781	0	262	0	0.0	0.8717572197748409
MGYG000439433	marine	4	2497	1299	0	1198	0	0.0	0.5202242691229475
MGYG000440361	marine	3	3803	3572	0	231	0	0.0	0.9392584801472522
MGYG000440380	marine	6	2801	1558	0	1243	0	0.0	0.5562299178864691
MGYG000440333	marine	3	3906	3323	0	583	0	0.0	0.8507424475166411
MGYG000440362	marine	5	3272	1981	0	1291	0	0.0	0.605440097799511
MGYG000440316	marine	3	2137	2029	0	108	0	0.0	0.9494618624239588
MGYG000440382	marine	11	3164	1305	0	1791	68	0.021491782553729456	0.41245259165613146
MGYG000440336	marine	3	3717	3126	0	591	0	0.0	0.841000807102502
MGYG000440363	marine	7	3253	2084	0	899	270	0.08300030740854596	0.6406394097755918
MGYG000440317	marine	3	3176	2929	0	247	0	0.0	0.9222292191435768
MGYG000440383	marine	3	2783	2224	0	559	0	0.0	0.7991376212720086
MGYG000440339	marine	10	2548	1842	0	700	6	0.002354788069073783	0.7229199372056515
MGYG000440300	marine	14	5117	566	0	3839	712	0.13914402970490522	0.11061168653507915
MGYG000440364	marine	3	4310	2285	0	2025	0	0.0	0.5301624129930395
MGYG000440318	marine	4	3050	2646	0	404	0	0.0	0.8675409836065574
MGYG000440384	marine	43	6708	659	748	3259	2042	0.3044126416219439	0.09824090638044126
MGYG000440345	marine	8	3313	2272	0	985	56	0.016903108964684575	0.6857832779957742
MGYG000440301	marine	3	3780	2486	0	1294	0	0.0	0.6576719576719576
MGYG000440365	marine	15	4250	2501	0	1497	252	0.059294117647058824	0.5884705882352941
MGYG000440319	marine	3	2568	2047	0	521	0	0.0	0.7971183800623053
MGYG000440385	marine	117	4950	60	474	2791	1625	0.3282828282828283	0.012121212121212121
MGYG000440347	marine	7	4042	1679	0	2243	120	0.029688273132112815	0.4153884215734785
MGYG000440304	marine	5	3155	1579	0	1576	0	0.0	0.5004754358161648
MGYG000440392	marine	3	3309	2731	0	578	0	0.0	0.8253248715624055
MGYG000440348	marine	3	4032	2910	0	1122	0	0.0	0.7217261904761905
MGYG000440367	marine	4	3738	2917	0	821	0	0.0	0.7803638309256287
MGYG000440325	marine	7	3580	2520	0	1025	35	0.009776536312849162	0.7039106145251397
MGYG000440354	marine	21	3632	305	635	2043	649	0.17868942731277532	0.08397577092511013
MGYG000440308	marine	17	4248	1636	0	2481	131	0.03083804143126177	0.3851224105461394
MGYG000440368	marine	3	1486	1315	0	171	0	0.0	0.8849259757738897
MGYG000440355	marine	4	3345	2308	0	1037	0	0.0	0.6899850523168909
MGYG000440311	marine	3	3615	3261	0	354	0	0.0	0.9020746887966805
MGYG000440375	marine	4	3178	2389	0	789	0	0.0	0.7517306482064191
MGYG000440328	marine	3	3748	3513	0	235	0	0.0	0.937299893276414
MGYG000440396	marine	8	2802	1764	0	1012	26	0.009279086366880799	0.6295503211991434
MGYG000440312	marine	20	5085	2200	607	1426	852	0.16755162241887905	0.4326450344149459
MGYG000440376	marine	13	2699	1103	0	1587	9	0.0033345683586513525	0.4086698777324935
MGYG000440329	marine	16	4015	1592	0	2059	364	0.09066002490660025	0.39651307596513075
MGYG000440398	marine	7	3764	2163	0	1141	460	0.12221041445270989	0.574654622741764
MGYG000440357	marine	6	2260	1235	0	1025	0	0.0	0.5464601769911505
MGYG000440378	marine	4	3214	2089	0	1125	0	0.0	0.6499688861232109
MGYG000440331	marine	3	2810	2664	0	146	0	0.0	0.9480427046263346
MGYG000451447	marine	34	2414	7	57	1848	502	0.207953603976802	0.002899751449875725
MGYG000451471	marine	18	3443	1151	0	1809	483	0.14028463549230322	0.3343014812663375
MGYG000451402	marine	13	1944	229	0	1638	77	0.03960905349794239	0.11779835390946503
MGYG000451478	marine	14	4002	1000	0	2729	273	0.068215892053973	0.24987506246876562
MGYG000451405	marine	4	2584	1594	0	990	0	0.0	0.6168730650154799
MGYG000451406	marine	4	761	268	0	493	0	0.0	0.35216819973718794
MGYG000451409	marine	18	2757	153	0	2350	254	0.0921291258614436	0.055495103373231776
MGYG000451497	marine	12	1544	703	0	774	67	0.04339378238341969	0.45531088082901555
MGYG000451420	marine	33	1236	93	128	943	72	0.05825242718446602	0.07524271844660194
MGYG000451438	marine	4	1420	680	0	740	0	0.0	0.4788732394366197
MGYG000451441	marine	11	1048	188	0	846	14	0.013358778625954198	0.17938931297709923
MGYG000451794	marine	20	3225	122	194	2649	260	0.08062015503875969	0.03782945736434108
MGYG000451706	marine	15	1673	100	0	1494	79	0.04722056186491333	0.05977286312014345
MGYG000451708	marine	11	1966	661	0	1247	58	0.029501525940996948	0.33621566632756866
MGYG000451714	marine	13	4689	653	0	3829	207	0.044145873320537425	0.13926210279377266
MGYG000451719	marine	20	3366	86	277	2817	186	0.05525846702317291	0.0255496137849079
MGYG000451729	marine	3	675	316	0	359	0	0.0	0.46814814814814815
MGYG000451742	marine	15	4752	387	0	3433	932	0.19612794612794612	0.08143939393939394
MGYG000451746	marine	10	1109	152	0	910	47	0.04238052299368801	0.13706041478809738
MGYG000454570	marine	25	2099	358	348	1332	61	0.02906145783706527	0.17055740828966173
MGYG000454511	marine	5	1004	514	0	490	0	0.0	0.5119521912350598
MGYG000454584	marine	4	1962	1131	0	831	0	0.0	0.5764525993883792
MGYG000454529	marine	3	1634	1233	0	401	0	0.0	0.7545899632802937
MGYG000454598	marine	18	1665	455	0	1164	46	0.02762762762762763	0.2732732732732733
MGYG000454533	marine	10	1803	467	0	1329	7	0.003882418191902385	0.25901275651691624
MGYG000454541	marine	7	1390	706	0	681	3	0.002158273381294964	0.5079136690647482
MGYG000454543	marine	6	2818	951	0	1867	0	0.0	0.3374733853797019
MGYG000454549	marine	9	1821	142	0	1661	18	0.009884678747940691	0.07797913234486546
MGYG000454556	marine	8	1804	656	0	1081	67	0.03713968957871397	0.36363636363636365
MGYG000456690	marine	18	1500	520	0	948	32	0.021333333333333333	0.3466666666666667
MGYG000456696	marine	3	1634	1258	0	376	0	0.0	0.769889840881273
MGYG000456610	marine	18	1962	189	0	1720	53	0.027013251783893986	0.0963302752293578
MGYG000456626	marine	7	2835	1110	0	1648	77	0.027160493827160494	0.3915343915343915
MGYG000456639	marine	13	3967	1001	0	2918	48	0.01209982354423998	0.2523317368288379
MGYG000456650	marine	9	2047	1065	0	969	13	0.006350757205666829	0.5202735710796287
MGYG000456670	marine	23	2384	992	662	594	136	0.05704697986577181	0.4161073825503356
MGYG000459409	marine	5	1654	1120	0	534	0	0.0	0.6771463119709794
MGYG000459483	marine	5	1583	530	0	1053	0	0.0	0.33480732785849654
MGYG000459499	marine	5	1813	710	0	1103	0	0.0	0.39161610590182017
MGYG000459451	marine	4	1089	715	0	374	0	0.0	0.6565656565656566
MGYG000459453	marine	3	2604	2408	0	196	0	0.0	0.9247311827956989
MGYG000459459	marine	7	2024	929	0	1086	9	0.004446640316205534	0.4589920948616601
MGYG000460037	marine	11	2181	315	0	1794	72	0.033012379642365884	0.14442916093535077
MGYG000460061	marine	72	1981	9	164	1672	136	0.06865219586067643	0.004543160020191822
MGYG000460071	marine	3	955	607	0	348	0	0.0	0.6356020942408377
MGYG000460073	marine	9	1903	242	0	1649	12	0.006305832895428271	0.12716763005780346
MGYG000463255	marine	3	1011	726	0	285	0	0.0	0.7181008902077152
MGYG000463201	marine	6	1345	750	0	595	0	0.0	0.5576208178438662
MGYG000463269	marine	4	1076	459	0	617	0	0.0	0.42657992565055763
MGYG000463207	marine	7	1084	651	0	431	2	0.0018450184501845018	0.6005535055350554
MGYG000463271	marine	3	1205	771	0	434	0	0.0	0.6398340248962655
MGYG000463280	marine	3	642	501	0	141	0	0.0	0.780373831775701
MGYG000463227	marine	11	2476	738	0	1685	53	0.021405492730210016	0.29806138933764137
MGYG000463235	marine	11	1311	173	0	1057	81	0.06178489702517163	0.13196033562166284
MGYG000463251	marine	19	4620	1264	0	3082	274	0.05930735930735931	0.2735930735930736
MGYG000464079	marine	7	1446	567	0	874	5	0.003457814661134163	0.3921161825726141
MGYG000464002	marine	5	990	413	0	577	0	0.0	0.4171717171717172
MGYG000464020	marine	3	1321	895	0	426	0	0.0	0.6775170325510976
MGYG000464067	marine	8	2625	457	0	2131	37	0.014095238095238095	0.1740952380952381
MGYG000467007	marine	5	2599	791	0	1808	0	0.0	0.30434782608695654
MGYG000467027	marine	16	1735	110	0	1553	72	0.0414985590778098	0.06340057636887608
MGYG000467031	marine	5	2908	2135	0	773	0	0.0	0.734181568088033
MGYG000467050	marine	23	2400	381	353	1468	198	0.0825	0.15875
MGYG000472553	marine	6	1209	426	0	783	0	0.0	0.3523573200992556
MGYG000472567	marine	7	4407	3522	0	826	59	0.013387792148854097	0.7991831177671885
MGYG000472510	marine	12	6090	1058	0	4802	230	0.03776683087027915	0.17372742200328406
MGYG000472582	marine	6	3574	1682	0	1892	0	0.0	0.4706211527700056
MGYG000472514	marine	3	3127	2528	0	599	0	0.0	0.8084425967380876
MGYG000472529	marine	3	2624	1753	0	871	0	0.0	0.6680640243902439
MGYG000472538	marine	11	3023	1570	0	1351	102	0.033741316572940785	0.5193516374462455
MGYG000472549	marine	4	3646	2131	0	1515	0	0.0	0.5844761382336807
MGYG000472550	marine	3	2859	1992	0	867	0	0.0	0.6967471143756558
MGYG000479514	marine	4	1157	639	0	518	0	0.0	0.5522904062229905
MGYG000479505	marine	3	1043	478	0	565	0	0.0	0.4582933844678811
MGYG000479597	marine	4	1726	1258	0	468	0	0.0	0.7288528389339514
MGYG000437857	marine	10	1715	250	0	1353	112	0.0653061224489796	0.1457725947521866
MGYG000437823	marine	5	1697	1428	0	269	0	0.0	0.8414849734826164
MGYG000437824	marine	4	3181	2369	0	812	0	0.0	0.7447343602640679
MGYG000437891	marine	22	2663	146	171	1911	435	0.1633496057078483	0.05482538490424334
MGYG000437801	marine	3	1746	1030	0	716	0	0.0	0.5899198167239404
MGYG000437828	marine	11	2496	783	0	1427	286	0.11458333333333333	0.3137019230769231
MGYG000437831	marine	6	1538	731	0	807	0	0.0	0.4752925877763329
MGYG000437805	marine	7	1287	428	0	817	42	0.03263403263403263	0.33255633255633255
MGYG000437832	marine	5	2493	1019	0	1474	0	0.0	0.40874448455675894
MGYG000437807	marine	4	3344	1161	0	2183	0	0.0	0.347188995215311
MGYG000437833	marine	8	2226	449	0	1560	217	0.09748427672955975	0.20170709793351302
MGYG000437810	marine	12	2130	507	0	1468	155	0.07276995305164319	0.2380281690140845
MGYG000437811	marine	9	2354	1079	0	1174	101	0.04290569243840272	0.45836873406966866
MGYG000437813	marine	12	2485	500	0	1949	36	0.01448692152917505	0.2012072434607646
MGYG000437818	marine	10	2089	760	0	1172	157	0.07515557683101963	0.3638104356151269
MGYG000439846	marine	4	2904	1305	0	1599	0	0.0	0.4493801652892562
MGYG000439829	marine	7	3441	417	0	2932	92	0.026736413833188026	0.12118570183086312
MGYG000439848	marine	3	921	469	0	452	0	0.0	0.509229098805646
MGYG000439858	marine	4	3560	2513	0	1047	0	0.0	0.7058988764044943
MGYG000439832	marine	3	3012	1962	0	1050	0	0.0	0.651394422310757
MGYG000439860	marine	3	1065	912	0	153	0	0.0	0.856338028169014
MGYG000439833	marine	11	3060	1857	0	1196	7	0.0022875816993464053	0.6068627450980392
MGYG000439865	marine	16	4396	969	0	3147	280	0.06369426751592357	0.22042766151046406
MGYG000439801	marine	5	1617	721	0	896	0	0.0	0.4458874458874459
MGYG000439834	marine	3	1742	1116	0	626	0	0.0	0.6406429391504018
MGYG000439887	marine	3	1074	892	0	182	0	0.0	0.8305400372439479
MGYG000439803	marine	3	2379	2088	0	291	0	0.0	0.8776796973518285
MGYG000439837	marine	8	3400	2077	0	1226	97	0.028529411764705883	0.6108823529411764
MGYG000439897	marine	13	3548	308	0	3151	89	0.025084554678692222	0.08680947012401354
MGYG000439840	marine	3	5193	4282	0	911	0	0.0	0.8245715386096668
MGYG000439809	marine	46	2219	102	740	1253	124	0.0558810274898603	0.04596665164488508
MGYG000439841	marine	4	3097	1439	0	1658	0	0.0	0.46464320309977397
MGYG000439843	marine	3	3127	2445	0	682	0	0.0	0.7818995842660698
MGYG000439811	marine	4	2168	1014	0	1154	0	0.0	0.4677121771217712
MGYG000439816	marine	3	1830	1616	0	214	0	0.0	0.8830601092896175
MGYG000442925	marine	3	1208	734	0	474	0	0.0	0.6076158940397351
MGYG000442903	marine	3	1370	1069	0	301	0	0.0	0.7802919708029197
MGYG000442981	marine	4	1528	1007	0	521	0	0.0	0.6590314136125655
MGYG000442915	marine	5	1563	1037	0	526	0	0.0	0.6634676903390915
MGYG000442990	marine	6	1621	838	0	783	0	0.0	0.5169648365206663
MGYG000442921	marine	4	1441	557	0	884	0	0.0	0.38653712699514226
MGYG000442950	marine	8	1958	955	0	978	25	0.012768130745658836	0.4877425944841675
MGYG000442956	marine	6	1763	579	0	1184	0	0.0	0.3284174702212138
MGYG000445824	marine	5	1452	489	0	963	0	0.0	0.3367768595041322
MGYG000445856	marine	5	1565	744	0	821	0	0.0	0.47539936102236424
MGYG000445800	marine	3	823	372	0	451	0	0.0	0.4520048602673147
MGYG000445887	marine	3	2020	1656	0	364	0	0.0	0.8198019801980198
MGYG000445858	marine	6	1750	842	0	908	0	0.0	0.48114285714285715
MGYG000445802	marine	18	979	87	0	844	48	0.049029622063329927	0.0888661899897855
MGYG000445861	marine	4	1730	823	0	907	0	0.0	0.47572254335260117
MGYG000445890	marine	3	2206	1804	0	402	0	0.0	0.8177697189483227
MGYG000445836	marine	8	1861	719	0	1109	33	0.017732401934443847	0.3863514239656099
MGYG000445866	marine	6	1565	709	0	856	0	0.0	0.45303514376996806
MGYG000445808	marine	9	1010	151	0	830	29	0.028712871287128714	0.1495049504950495
MGYG000445849	marine	12	1846	525	0	1304	17	0.009209100758396533	0.2843986998916576
MGYG000445870	marine	5	1508	783	0	725	0	0.0	0.5192307692307693
MGYG000445893	marine	3	1846	1356	0	490	0	0.0	0.7345612134344529
MGYG000445895	marine	5	1881	1099	0	782	0	0.0	0.5842636895268474
MGYG000445872	marine	4	1168	289	0	879	0	0.0	0.24743150684931506
MGYG000445818	marine	6	2075	886	0	1189	0	0.0	0.4269879518072289
MGYG000446292	marine	3	1156	1004	0	152	0	0.0	0.8685121107266436
MGYG000446267	marine	3	619	520	0	99	0	0.0	0.840064620355412
MGYG000446246	marine	3	705	630	0	75	0	0.0	0.8936170212765957
MGYG000446208	marine	3	983	734	0	249	0	0.0	0.7466937945066124
MGYG000449008	marine	12	3217	558	0	2622	37	0.011501398818775257	0.17345352813179982
MGYG000449087	marine	6	2297	1464	0	833	0	0.0	0.6373530692207227
MGYG000449013	marine	16	3958	1269	0	2523	166	0.04194037392622536	0.32061647296614454
MGYG000449014	marine	7	4022	1795	0	2156	71	0.017652909000497267	0.4462953754351069
MGYG000449835	marine	4	2204	970	0	1234	0	0.0	0.4401088929219601
MGYG000449839	marine	6	2105	536	0	1569	0	0.0	0.25463182897862235
MGYG000449887	marine	3	1940	1227	0	713	0	0.0	0.6324742268041237
MGYG000449847	marine	3	2862	2105	0	757	0	0.0	0.7354996505939903
MGYG000449824	marine	3	1911	1290	0	621	0	0.0	0.6750392464678179
MGYG000449852	marine	4	2974	2478	0	496	0	0.0	0.8332212508406187
MGYG000449854	marine	3	3411	2821	0	590	0	0.0	0.8270301964233363
MGYG000449856	marine	8	4100	1350	0	2708	42	0.01024390243902439	0.32926829268292684
MGYG000449830	marine	3	1742	885	0	857	0	0.0	0.5080367393800229
MGYG000450809	marine	9	1363	798	0	564	1	0.0007336757153338225	0.5854732208363903
MGYG000450854	marine	3	3421	1842	0	1579	0	0.0	0.5384390529085062
MGYG000450880	marine	4	781	340	0	441	0	0.0	0.4353393085787452
MGYG000451692	marine	11	1432	316	0	1096	20	0.013966480446927373	0.2206703910614525
MGYG000451697	marine	12	1323	183	0	1122	18	0.013605442176870748	0.1383219954648526
MGYG000451607	marine	11	1545	80	0	1443	22	0.01423948220064725	0.05177993527508091
MGYG000451613	marine	3	1348	532	0	816	0	0.0	0.39465875370919884
MGYG000451617	marine	6	1622	581	0	1041	0	0.0	0.35819975339087545
MGYG000451623	marine	45	5694	594	1522	2012	1566	0.27502634351949423	0.10432033719704953
MGYG000452975	marine	6	3839	2503	0	1336	0	0.0	0.6519927064339672
MGYG000452929	marine	13	2760	428	0	2233	99	0.035869565217391305	0.15507246376811595
MGYG000452947	marine	7	1344	127	0	1166	51	0.03794642857142857	0.09449404761904762
MGYG000452951	marine	9	1461	277	0	1078	106	0.07255304585900069	0.189596167008898
MGYG000452962	marine	7	1701	709	0	971	21	0.012345679012345678	0.41681363903586127
MGYG000456191	marine	3	1143	688	0	455	0	0.0	0.6019247594050744
MGYG000456100	marine	31	1481	56	122	1244	59	0.039837947332883185	0.03781228899392303
MGYG000456103	marine	5	1350	759	0	591	0	0.0	0.5622222222222222
MGYG000456113	marine	7	1250	215	0	1025	10	0.008	0.172
MGYG000456154	marine	5	1200	814	0	386	0	0.0	0.6783333333333333
MGYG000456179	marine	5	1018	341	0	677	0	0.0	0.3349705304518664
MGYG000456187	marine	3	681	390	0	291	0	0.0	0.5726872246696035
MGYG000456508	marine	13	4886	1191	0	3435	260	0.05321326238231682	0.2437576749897667
MGYG000456529	marine	3	3200	2790	0	410	0	0.0	0.871875
MGYG000456530	marine	11	1217	158	0	1033	26	0.021364009860312245	0.12982744453574363
MGYG000456572	marine	18	1660	412	0	1190	58	0.03493975903614458	0.24819277108433735
MGYG000456584	marine	3	2786	1661	0	1125	0	0.0	0.5961952620244078
MGYG000458760	marine	4	4206	2427	0	1779	0	0.0	0.5770328102710414
MGYG000458768	marine	3	1369	863	0	506	0	0.0	0.6303871439006574
MGYG000458775	marine	51	5210	80	399	3534	1197	0.22975047984644914	0.015355086372360844
MGYG000458704	marine	5	4406	3549	0	857	0	0.0	0.8054925102133454
MGYG000458776	marine	4	1268	471	0	797	0	0.0	0.3714511041009464
MGYG000458786	marine	15	1836	86	0	1638	112	0.06100217864923747	0.046840958605664486
MGYG000458789	marine	13	1606	170	0	1408	28	0.017434620174346202	0.10585305105853052
MGYG000458721	marine	13	4991	1384	0	3486	121	0.0242436385493889	0.27729913844920856
MGYG000458729	marine	4	1911	850	0	1061	0	0.0	0.44479330193615907
MGYG000458738	marine	3	840	484	0	356	0	0.0	0.5761904761904761
MGYG000458746	marine	16	1207	137	0	1015	55	0.045567522783761395	0.11350455675227837
MGYG000462246	marine	4	1372	559	0	813	0	0.0	0.4074344023323615
MGYG000462253	marine	5	1160	336	0	824	0	0.0	0.2896551724137931
MGYG000462264	marine	3	1405	1073	0	332	0	0.0	0.7637010676156584
MGYG000462212	marine	5	1505	359	0	1146	0	0.0	0.23853820598006645
MGYG000462288	marine	3	479	380	0	99	0	0.0	0.7933194154488518
MGYG000462213	marine	3	1423	1224	0	199	0	0.0	0.8601546029515109
MGYG000462296	marine	4	2059	1196	0	863	0	0.0	0.5808644973288004
MGYG000462220	marine	7	2575	748	0	1808	19	0.007378640776699029	0.2904854368932039
MGYG000462223	marine	5	1731	870	0	861	0	0.0	0.5025996533795494
MGYG000462224	marine	6	1453	550	0	903	0	0.0	0.3785271851342051
MGYG000462235	marine	3	1201	804	0	397	0	0.0	0.6694421315570358
MGYG000462880	marine	8	1105	433	0	671	1	0.0009049773755656109	0.3918552036199095
MGYG000462810	marine	8	1701	526	0	1173	2	0.0011757789535567313	0.30922986478542036
MGYG000462828	marine	4	1596	1118	0	478	0	0.0	0.7005012531328321
MGYG000462834	marine	11	1715	725	0	989	1	0.0005830903790087463	0.4227405247813411
MGYG000462840	marine	5	2078	705	0	1373	0	0.0	0.33926852743022134
MGYG000464278	marine	5	1530	667	0	863	0	0.0	0.43594771241830066
MGYG000464288	marine	30	2827	157	203	1989	478	0.16908383445348427	0.05553590378493102
MGYG000464290	marine	7	547	247	0	296	4	0.007312614259597806	0.4515539305301645
MGYG000464211	marine	4	1400	499	0	901	0	0.0	0.35642857142857143
MGYG000464248	marine	3	1013	411	0	602	0	0.0	0.40572556762092793
MGYG000465584	marine	68	3038	59	386	2029	564	0.18564845292955892	0.019420671494404212
MGYG000465592	marine	4	1623	770	0	853	0	0.0	0.47443006777572394
MGYG000465504	marine	5	4648	3365	0	1283	0	0.0	0.7239672977624785
MGYG000465595	marine	5	2275	668	0	1607	0	0.0	0.2936263736263736
MGYG000465525	marine	3	703	446	0	257	0	0.0	0.6344238975817923
MGYG000465536	marine	12	1597	207	0	1360	30	0.01878522229179712	0.12961803381340012
MGYG000467501	marine	4	3367	2452	0	915	0	0.0	0.7282447282447282
MGYG000467566	marine	7	1840	306	0	1489	45	0.024456521739130436	0.16630434782608697
MGYG000468341	marine	4	1323	677	0	646	0	0.0	0.5117157974300831
MGYG000468396	marine	5	801	310	0	491	0	0.0	0.38701622971285893
MGYG000468577	marine	8	1873	863	0	956	54	0.028830752802989856	0.4607581420181527
MGYG000468584	marine	3	1129	620	0	509	0	0.0	0.5491585473870682
MGYG000468587	marine	8	3321	1261	0	1980	80	0.02408912978018669	0.3797049081601927
MGYG000468504	marine	4	3299	2333	0	966	0	0.0	0.7071839951500455
MGYG000468590	marine	33	2388	654	526	1024	184	0.07705192629815745	0.27386934673366836
MGYG000468512	marine	7	1403	477	0	915	11	0.007840342124019958	0.33998574483250177
MGYG000468520	marine	3	1091	510	0	581	0	0.0	0.4674610449129239
MGYG000468521	marine	62	1612	0	59	1405	148	0.09181141439205956	0.0
MGYG000468571	marine	4	4570	1993	0	2577	0	0.0	0.4361050328227571
MGYG000468576	marine	5	1458	860	0	598	0	0.0	0.5898491083676269
MGYG000470382	marine	3	742	441	0	301	0	0.0	0.5943396226415094
MGYG000470311	marine	5	1857	1334	0	523	0	0.0	0.7183629509962305
MGYG000470331	marine	53	2601	52	418	1971	160	0.06151480199923107	0.019992310649750097
MGYG000470397	marine	9	1641	275	0	1318	48	0.029250457038391225	0.1675807434491164
MGYG000470338	marine	3	3704	2930	0	774	0	0.0	0.791036717062635
MGYG000470345	marine	37	1098	61	163	778	96	0.08743169398907104	0.05555555555555555
MGYG000470354	marine	3	1536	1255	0	281	0	0.0	0.8170572916666666
MGYG000474606	marine	5	2732	695	0	2037	0	0.0	0.2543923865300146
MGYG000474634	marine	3	2699	1377	0	1322	0	0.0	0.5101889588736569
MGYG000474652	marine	6	6725	3806	0	2919	0	0.0	0.5659479553903346
MGYG000480721	marine	6	1663	419	0	1244	0	0.0	0.25195429945880937
MGYG000480730	marine	17	1378	50	0	1166	162	0.11756168359941944	0.036284470246734396
MGYG000480736	marine	3	1178	478	0	700	0	0.0	0.4057724957555178
MGYG000481467	marine	4	1427	303	0	1124	0	0.0	0.212333566923616
MGYG000481492	marine	3	1164	271	0	893	0	0.0	0.23281786941580757
MGYG000481456	marine	4	1339	342	0	997	0	0.0	0.2554144884241972
MGYG000481406	marine	4	1255	473	0	782	0	0.0	0.37689243027888447
MGYG000481481	marine	5	1048	399	0	649	0	0.0	0.38072519083969464
MGYG000481434	marine	51	1790	19	195	1219	357	0.19944134078212292	0.010614525139664804
MGYG000481464	marine	6	1567	237	0	1330	0	0.0	0.15124441608168473
MGYG000485047	marine	3	2553	1045	0	1508	0	0.0	0.409322365844105
MGYG000437719	marine	11	2979	867	0	1876	236	0.07922121517287681	0.29103726082578046
MGYG000437795	marine	3	1113	421	0	692	0	0.0	0.3782569631626235
MGYG000437744	marine	25	2241	228	238	1326	449	0.2003569834895136	0.10174029451137885
MGYG000437720	marine	14	2343	117	0	1926	300	0.12804097311139565	0.0499359795134443
MGYG000437796	marine	29	6079	1103	910	2325	1741	0.2863957887810495	0.18144431649942425
MGYG000437745	marine	6	1253	699	0	554	0	0.0	0.5578611332801277
MGYG000437721	marine	11	1857	631	0	1061	165	0.0888529886914378	0.3397953688745288
MGYG000437799	marine	7	1894	591	0	1215	88	0.046462513199577615	0.31203801478352694
MGYG000437747	marine	9	3657	1255	0	2209	193	0.05277549904293136	0.34317746786983866
MGYG000437751	marine	18	2427	431	0	1740	256	0.10548001648125258	0.17758549649773384
MGYG000437779	marine	8	1237	619	0	555	63	0.05092966855295069	0.5004042037186742
MGYG000437728	marine	12	1357	184	0	1107	66	0.04863669859985262	0.13559322033898305
MGYG000437753	marine	7	2831	889	0	1824	118	0.04168138466972801	0.3140233133168492
MGYG000437705	marine	4	1823	1266	0	557	0	0.0	0.6944596818431158
MGYG000437756	marine	3	1591	1150	0	441	0	0.0	0.7228158390949089
MGYG000437788	marine	4	1304	660	0	644	0	0.0	0.5061349693251533
MGYG000437762	marine	6	2878	1635	0	1243	0	0.0	0.5681028492008339
MGYG000437713	marine	8	2650	1694	0	891	65	0.024528301886792454	0.639245283018868
MGYG000437789	marine	10	2007	885	0	985	137	0.06826108619830593	0.44095665171898357
MGYG000437766	marine	4	2743	1622	0	1121	0	0.0	0.5913233685745534
MGYG000437715	marine	3	2737	1599	0	1138	0	0.0	0.5842162952137376
MGYG000437717	marine	8	1921	384	0	1404	133	0.06923477355543987	0.19989588755856325
MGYG000437743	marine	6	2163	576	0	1587	0	0.0	0.26629680998613037
MGYG000447878	marine	7	3388	1335	0	2011	42	0.012396694214876033	0.39403778040141674
MGYG000447834	marine	3	2387	1811	0	576	0	0.0	0.7586929199832425
MGYG000447818	marine	82	4510	85	911	1750	1764	0.39113082039911307	0.018847006651884702
MGYG000447820	marine	13	2937	1254	0	1596	87	0.0296220633299285	0.42696629213483145
MGYG000447842	marine	6	4699	1488	0	3211	0	0.0	0.3166631198127261
MGYG000447860	marine	11	4494	565	0	3726	203	0.045171339563862926	0.12572318647085
MGYG000448340	marine	3	4111	2811	0	1300	0	0.0	0.6837752371685721
MGYG000448346	marine	3	4978	4386	0	592	0	0.0	0.8810767376456409
MGYG000448309	marine	8	4066	1039	0	2703	324	0.07968519429414658	0.25553369404820464
MGYG000448337	marine	5	4286	1170	0	3116	0	0.0	0.27298180121325244
MGYG000449234	marine	8	4748	2078	0	2536	134	0.02822240943555181	0.43765796124684075
MGYG000449264	marine	4	2759	1986	0	773	0	0.0	0.7198260239217108
MGYG000449208	marine	5	4282	2699	0	1583	0	0.0	0.6303129378794956
MGYG000449210	marine	4	3021	2452	0	569	0	0.0	0.8116517709367759
MGYG000449426	marine	6	1753	707	0	1046	0	0.0	0.4033086138049059
MGYG000449485	marine	3	1119	457	0	662	0	0.0	0.40840035746201964
MGYG000449403	marine	7	1515	369	0	1104	42	0.027722772277227723	0.24356435643564356
MGYG000449405	marine	3	1355	600	0	755	0	0.0	0.44280442804428044
MGYG000449447	marine	10	1039	165	0	858	16	0.015399422521655439	0.1588065447545717
MGYG000449406	marine	8	1571	358	0	1193	20	0.012730744748567792	0.22788033099936347
MGYG000449450	marine	5	953	352	0	601	0	0.0	0.36935991605456453
MGYG000449466	marine	6	1817	634	0	1183	0	0.0	0.34892680242157403
MGYG000455568	marine	5	1852	1150	0	702	0	0.0	0.6209503239740821
MGYG000455591	marine	4	3694	3105	0	589	0	0.0	0.8405522468868435
MGYG000455523	marine	3	7763	5687	0	2076	0	0.0	0.7325776117480356
MGYG000455524	marine	19	1754	210	0	1442	102	0.05815279361459521	0.11972633979475485
MGYG000455561	marine	17	1694	157	0	1463	74	0.043683589138134596	0.09268004722550177
